Statistic  ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
Solver 84 ; 100,000000 ; 117,000000 ; 1,000000 ; 31874,000000 ; 10075,000000
Solver 85 ; 100,000000 ; 122,000000 ; 1,000000 ; 31733,000000 ; 9959,000000
Solver 86 ; 100,000000 ; 116,000000 ; 1,000000 ; 31874,000000 ; 9908,000000
Solver 87 ; 100,000000 ; 126,000000 ; 1,000000 ; 31733,000000 ; 10068,000000
Solver 88 ; 100,000000 ; 121,000000 ; 1,000000 ; 31874,000000 ; 10108,000000
Solver 89 ; 100,000000 ; 120,000000 ; 1,000000 ; 31765,000000 ; 9887,000000
Solver 90 ; 100,000000 ; 121,000000 ; 1,000000 ; 31874,000000 ; 9951,000000
Solver 91 ; 100,000000 ; 124,000000 ; 1,000000 ; 31765,000000 ; 10078,000000
Solver 92 ; 100,000000 ; 117,000000 ; 1,000000 ; 31874,000000 ; 9942,000000
Solver 93 ; 100,000000 ; 115,000000 ; 1,000000 ; 31765,000000 ; 10017,000000
Solver 94 ; 100,000000 ; 124,000000 ; 1,000000 ; 31859,000000 ; 10009,000000
Solver 95 ; 100,000000 ; 124,000000 ; 1,000000 ; 31765,000000 ; 9956,000000
Solver 96 ; 100,000000 ; 123,000000 ; 1,000000 ; 31859,000000 ; 10092,000000
Solver 97 ; 100,000000 ; 113,000000 ; 1,000000 ; 31765,000000 ; 9938,000000
Solver 98 ; 100,000000 ; 114,000000 ; 1,000000 ; 31875,000000 ; 10058,000000
Solver 99 ; 100,000000 ; 120,000000 ; 1,000000 ; 31765,000000 ; 9895,000000

