#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = SGA-64
random seed          = 123
number of runs       = 100

solver type         = GA
stop criteria       = MaxGeneration 101

problem name        = bits.OneMax 128
population type     = SimplePopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = TournamentReplacement
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                         Generation          Individuals           SucessRate                 Time        FunctionCalls
STATISTIC 19                          20                    0                   20                   20                   20                   20                   20  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             7703.41   258.93831779834784                 6972                 7737                 8363                 7613                 7815  		             2224.61   19.188009197671178                 2180                 2226                 2263                 2210                 2238  		
STATISTIC 20                          21                    0                   21                   21                   21                   21                   21  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             8000.99    273.6939046349793                 7160                 8034                 8707                 7956                 8159  		             2336.21   18.733265933242652                 2294                 2337                 2376                 2322                 2351  		
STATISTIC 21                          22                    0                   22                   22                   22                   22                   22  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             8242.02    271.7473195020809                 7410                 8300                 8800                 8081                 8410  		             2447.62   19.764665952184526                 2406                 2447                 2488                 2435                 2464  		
STATISTIC 22                          23                    0                   23                   23                   23                   23                   23  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             8513.78   282.28678661777343                 7644                 8644                 9004                 8378                 8675  		             2558.72    20.44706395163098                 2513                 2559                 2602                 2546                 2576  		
STATISTIC 23                          24                    0                   24                   24                   24                   24                   24  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		                8870    278.5330258060011                 8003                 8925                 9487                 8721                 9066  		             2669.96   20.153912821597178                 2623                 2671                 2712                 2658                 2685  		
STATISTIC 24                          25                    0                   25                   25                   25                   25                   25  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             9185.04   283.68106718424025                 8315                 9284                 9815                 9081                 9346  		              2781.1   20.592486616494497                 2737                 2782                 2824                 2768                 2797  		
STATISTIC 25                          26                    0                   26                   26                   26                   26                   26  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              9536.5   246.76687153848042                 8679                 9616                 9992                 9460                 9648  		             2891.94   21.211689173085983                 2843                 2893                 2939                 2877                 2908  		
STATISTIC 26                          27                    0                   27                   27                   27                   27                   27  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             9739.72    273.4231219856179                 8929                 9757                10367                 9664                 9883  		             3002.79    21.48257221775936                 2953                 3004                 3049                 2988                 3018  		
STATISTIC 27                          28                    0                   28                   28                   28                   28                   28  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            10036.64   273.91606470789503                 9226                10101                10663                 9929                10179  		             3114.44   21.833307888022574                 3065                 3116                 3160                 3100                 3132  		
STATISTIC 28                          29                    0                   29                   29                   29                   29                   29  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            10312.91   285.41616239726363                 9507                10336                10851                10164                10507  		              3225.9   22.057546407870333                 3176                 3226                 3271                 3212                 3243  		
