                    ____________________________________________________________________BestFitness____________________________________________________________________ 		____________________________________________________________________Generation_____________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 19            114.540717028078    2.633098401121928   109.20171107167758   115.01903570425242   119.13933231193727   113.17317149420884     115.627576097863  		                  35                    0                   35                   35                   35                   35                   35  		                  74   3.9440531887330774                   69                   74                   80                   71                   77  		                   0                    0                    0                    0                    0                    0                    0  		              4545.6    83.45085047167049                 4400                 4563                 4663                 4511                 4603  		              3869.6   24.286255829643327                 3824                 3880                 3896                 3852                 3889  		
STATISTIC 20          115.18150370044653     2.09193137611402   111.94026253612965   114.75243562187796   119.13933231193727    114.0630817226657   116.63581677648044  		                  37                    0                   37                   37                   37                   37                   37  		                71.8   3.4576806613039603                   65                   72                   77                   70                   74  		                   0                    0                    0                    0                    0                    0                    0  		              4634.8    75.65829615962228                 4447                 4650                 4717                 4610                 4684  		              4089.1    20.86703940030774                 4050                 4096                 4114                 4078                 4105  		
STATISTIC 21          115.87802296933337   1.9196273014213312   113.57387980119631      115.81016928278   120.09701376810014   114.63272306493107   116.63581677648044  		                  38                    0                   38                   38                   38                   38                   38  		                  72    4.521553322083512                   66                   72                   82                   69                   73  		                   0                    0                    0                    0                    0                    0                    0  		              4650.8    79.73121513350969                 4463                 4666                 4749                 4622                 4700  		              4198.6    20.03996007981708                 4157                 4207                 4220                 4183                 4216  		
STATISTIC 22          116.47899302883363    2.046386692957508   113.78531788722219   116.06419800136271   120.09701376810014    115.2559948312959   118.18983680540265  		                  40                    0                   40                   40                   40                   40                   40  		                72.2    3.293090409394234                   67                   72                   77                   70                   76  		                   0                    0                    0                    0                    0                    0                    0  		              4868.8    79.73121513350969                 4681                 4884                 4967                 4840                 4918  		              4420.2    23.24650511365822                 4372                 4432                 4448                 4407                 4436  		
STATISTIC 23          117.52123410722088    2.314653318237082   113.78531788722219   117.71481692229678   121.91923120674532   115.63467741824361   119.07763382264073  		                  42                    0                   42                   42                   42                   42                   42  		                75.1    4.280446497997888                   68                   77                   81                   71                   77  		                   0                    0                    0                    0                    0                    0                    0  		              5031.8     79.5805671421485                 4838                 5041                 5124                 5011                 5081  		              4641.2    21.27492002855851                 4596                 4645                 4668                 4629                 4658  		
STATISTIC 24          117.69578931796931   2.2159730552656347   114.44239622382977   117.71481692229678   121.91923120674532   115.76169312506427   119.21293854624113  		                  44                    0                   44                   44                   44                   44                   44  		                  77       4.371625682868                   68                   79                   82                   75                   80  		                   0                    0                    0                    0                    0                    0                    0  		              5207.6    76.67130420754717                 5023                 5226                 5293                 5182                 5251  		                4859   29.914693528246097                 4799                 4864                 4896                 4844                 4885  		
STATISTIC 25          118.25475058126116   2.1341463507262213    115.1247157156412   118.17240975821608   121.91923120674532   116.45016045692024   120.02978215397863  		                  46                    0                   46                   46                   46                   46                   46  		                75.3    4.808557187163532                   66                   77                   82                   72                   78  		                   0                    0                    0                    0                    0                    0                    0  		              5225.8    79.73121513353045                 5038                 5241                 5324                 5197                 5275  		              5077.6   29.485212866425776                 5021                 5074                 5115                 5070                 5105  		
STATISTIC 26          118.60059451664829   2.3656425753626924    115.1247157156412    118.6394480880974   122.11963698556211   116.45016045692024   120.02978215397863  		                  47                    0                   47                   47                   47                   47                   47  		                77.6    5.660781257427689                   69                   78                   86                   73                   81  		                   0                    0                    0                    0                    0                    0                    0  		              5241.8    79.73121513353045                 5054                 5257                 5340                 5213                 5291  		              5184.9   30.245109797519625                 5132                 5187                 5226                 5167                 5214  		
STATISTIC 27          119.10401777075394   2.1450244723988066    115.8850134497753   119.83743442874179   122.57484324473637   118.08957444360826   120.14573381819598  		                  49                    0                   49                   49                   49                   49                   49  		                77.5    8.127456893491072                   70                   74                   94                   72                   85  		                   0                    0                    0                    0                    0                    0                    0  		              5407.4     74.1008322040359                 5226                 5429                 5496                 5385                 5447  		              5401.7    34.28005575002572                 5351                 5402                 5453                 5371                 5430  		
STATISTIC 28          119.60181326472245   2.3381252670859145   116.08752121871085   120.14573381819598    123.2406252888627   118.19122871200916   121.46648672384511  		                  51                    0                   51                   51                   51                   51                   51  		                80.1    9.631545393480053                   71                   79                  101                   73                   83  		                   0                    0                    0                    0                    0                    0                    0  		              5468.3    99.36917697825609                 5257                 5507                 5590                 5416                 5541  		              5616.6   39.336723017749314                 5566                 5621                 5673                 5585                 5660  		
STATISTIC 29          119.89712317892841    2.248313766328299   116.90207145780059   120.70872897440088   123.44834754780894   118.19122871200916    121.9621279657156  		                  53                    0                   53                   53                   53                   53                   53  		                79.4     9.52423808559568                   69                   76                  101                   74                   86  		                   0                    0                    0                    0                    0                    0                    0  		              5605.6    75.59717807782698                 5429                 5632                 5699                 5572                 5650  		              5831.3   43.670610508955235                 5783                 5848                 5895                 5787                 5872  		
STATISTIC 30          120.61229719329553    2.284946120797706   116.69196088009527   120.98819829568383   124.52497625743587   119.17256403835435   121.80127002905073  		                  55                    0                   55                   55                   55                   55                   55  		                80.6    5.966573556070533                   73                   82                   91                   75                   84  		                   0                    0                    0                    0                    0                    0                    0  		              5780.8    75.30500942465311                 5601                 5788                 5871                 5759                 5829  		              6042.6     51.6509653561245                 5991                 6046                 6125                 5995                 6083  		
STATISTIC 31          120.54628261413464    2.384660559603016   116.91912606742837   121.40043742451203   124.52497625743587   119.16563361123103   121.80127002905073  		                  56                    0                   56                   56                   56                   56                   56  		                80.6    8.194849330863608                   69                   82                   94                   71                   86  		                   0                    0                    0                    0                    0                    0                    0  		                5873    83.67529835952517                 5710                 5889                 5989                 5837                 5938  		              6150.8    52.94609417975549                 6092                 6157                 6234                 6108                 6186  		
STATISTIC 32          121.36271175644147   2.2032610997689344   118.58824548632656   121.40043742451203   124.52935016576049   119.46435387646167    122.9386039966692  		                  58                    0                   58                   58                   58                   58                   58  		                82.4   10.647900158142784                   70                   80                  100                   72                   91  		                   0                    0                    0                    0                    0                    0                    0  		              5959.9    74.10870394223171                 5788                 5975                 6058                 5931                 6009  		              6360.2   59.893980406143804                 6293                 6351                 6455                 6312                 6402  		
STATISTIC 33          121.80617852304115    2.377474426351892   118.89777686886802    122.3763112089083    125.1241117335056   119.46435387646167   123.94292200830239  		                  60                    0                   60                   60                   60                   60                   60  		                82.4   7.5894663844040675                   71                   85                   93                   75                   87  		                   0                    0                    0                    0                    0                    0                    0  		              6108.8    81.27702969202433                 5913                 6116                 6199                 6087                 6157  		              6572.5    63.73425731547796                 6504                 6557                 6672                 6525                 6619  		
STATISTIC 34           121.9173758271248   2.3016925479932535   118.86273248190747   122.65307404017707    125.1241117335056   119.69256072357531   123.94292200830239  		                  62                    0                   62                   62                   62                   62                   62  		                86.2    12.00740512258075                   73                   89                  115                   79                   90  		                   0                    0                    0                    0                    0                    0                    0  		              6263.2    79.59731988789561                 6069                 6272                 6355                 6243                 6313  		              6780.6    68.98502252902932                 6687                 6768                 6892                 6728                 6830  		
STATISTIC 35          122.11989371167363    2.285168016392159   118.89777686886802   122.93224955796383    125.1241117335056   120.07143239383446   123.94292200830239  		                  64                    0                   64                   64                   64                   64                   64  		                  85    5.773502691896258                   76                   87                   92                   81                   91  		                   0                    0                    0                    0                    0                    0                    0  		              6428.8    79.73121513353045                 6241                 6444                 6527                 6400                 6478  		              6990.5    70.11141926327772                 6902                 6989                 7102                 6919                 7033  		
STATISTIC 36          122.28602327911717   2.3369738424659934   118.89777686886802   122.89086448653894   125.65651994502191   120.07143239383446   123.94292200830239  		                  65                    0                   65                   65                   65                   65                   65  		                86.9    8.504247304860176                   71                   89                  101                   80                   91  		                   0                    0                    0                    0                    0                    0                    0  		              6469.5    92.93277139954452                 6241                 6491                 6574                 6446                 6525  		              7094.3    70.08257034862032                 7000                 7100                 7210                 7026                 7136  		
