AVG                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                               100               120.33                    1             31843.31              9973.98
SGA-64                                100                   64                    1             31380.53             11113.95
SGA-128                               100                  128                    1             31175.44             11114.41

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
STD                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                                 0   4.4586880346016615                    0   162.16948952662818    93.00895796974082
SGA-64                                  0                    0                    0    282.0986092726661    40.70821896016935
SGA-128                                 0                    0                    0   143.82419964677098    43.47647570122645

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   GENERATION                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Generation                        MuGA-64               SGA-64              SGA-128 
           Solver 99                  120                   64                  128 

Individuals                          Mean                  STD             Solver 0             Solver 1             Solver 2             Solver 3             Solver 4             Solver 5             Solver 6             Solver 7             Solver 8             Solver 9            Solver 10            Solver 11            Solver 12            Solver 13            Solver 14            Solver 15            Solver 16            Solver 17            Solver 18            Solver 19            Solver 20            Solver 21            Solver 22            Solver 23            Solver 24            Solver 25            Solver 26            Solver 27            Solver 28            Solver 29            Solver 30            Solver 31            Solver 32            Solver 33            Solver 34            Solver 35            Solver 36            Solver 37            Solver 38            Solver 39            Solver 40            Solver 41            Solver 42            Solver 43            Solver 44            Solver 45            Solver 46            Solver 47            Solver 48            Solver 49            Solver 50            Solver 51            Solver 52            Solver 53            Solver 54            Solver 55            Solver 56            Solver 57            Solver 58            Solver 59            Solver 60            Solver 61            Solver 62            Solver 63            Solver 64            Solver 65            Solver 66            Solver 67            Solver 68            Solver 69            Solver 70            Solver 71            Solver 72            Solver 73            Solver 74            Solver 75            Solver 76            Solver 77            Solver 78            Solver 79            Solver 80            Solver 81            Solver 82            Solver 83            Solver 84            Solver 85            Solver 86            Solver 87            Solver 88            Solver 89            Solver 90            Solver 91            Solver 92            Solver 93            Solver 94            Solver 95            Solver 96            Solver 97            Solver 98            Solver 99
             MuGA-64               120.33   4.4586880346016615                  120                  125                  127                  115                  114                  110                  116                  117                  119                  119                  123                  126                  126                  121                  121                  128                  120                  117                  119                  121                  120                  119                  121                  119                  114                  119                  122                  123                  129                  121                  121                  126                  116                  108                  124                  126                  117                  112                  115                  120                  120                  119                  122                  119                  122                  117                  118                  109                  122                  122                  127                  127                  123                  121                  124                  122                  124                  121                  119                  125                  122                  128                  124                  117                  120                  124                  122                  123                  113                  115                  126                  121                  120                  117                  125                  119                  117                  123                  121                  125                  122                  125                  107                  121                  117                  122                  116                  126                  121                  120                  121                  124                  117                  115                  124                  124                  123                  113                  114                  120
              SGA-64                   64                    0                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64                   64
             SGA-128                  128                    0                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128                  128


Individuals : Compare Means  using Student's t-test
   Confidence 95%      0    1    2  Score Rank     Confidence 99%      0    1    2  Score Rank        p-Values          0      1      2  
